Description,ANOnto,AROnto,CBOOnto,CBOOnto2,CROnto,DITOnto,INROnto,LCOMOnto,NACOnto,NOCOnto,NOMOnto,POnto,PROnto,RFCOnto,RROnto,TMOnto,TMOnto2,WMCOnto,WMCOnto2
CO_340,0.874580067,0,0.998880179,0.998880179,0.982082867,5,0.998880179,3.134545455,1,13.11764706,0.876819709,0.993281075,0.467462687,1.875699888,0.532537313,0,0,3.134545455,1
CO_341,0.931952663,0,0.99704142,0.99704142,0.952662722,5,0.99704142,3.00660066,1,9.628571429,0.940828402,0.982248521,0.485496183,1.937869822,0.514503817,0,0,3.00660066,1
CO_343,0.961708395,0,0.998527246,0.998527246,0.976435935,5,0.998527246,2.827315542,1,16.14285714,1.160530191,0.989690722,0.537517053,2.159057437,0.462482947,0,0,2.827315542,1
CO_345,0.946745562,0,0.99704142,0.99704142,0.952662722,5,0.99704142,2.970394737,1,9.911764706,0.985207101,0.982248521,0.497014925,1.982248521,0.502985075,0,0,2.970394737,1
CO_346,0.924731183,0,0.997849462,0.997849462,0.965591398,5,0.997849462,3.129268293,1,8.436363636,0.843010753,0.984946237,0.457943925,1.840860215,0.542056075,0,0,3.129268293,1
CO_347,0.953623188,0,0.997101449,0.997101449,0.953623188,5,0.997101449,2.977635783,1,10.75,0.971014493,0.982608696,0.493372607,1.968115942,0.506627393,0,0,2.977635783,1
CO_348,0.920159681,0,0.998003992,0.998003992,0.956087824,5,0.998003992,2.752642706,1,17.85714286,1.145708583,0.976047904,0.534450652,2.143712575,0.465549348,0,0,2.752642706,1
CO_350,0.597938144,0,0.994845361,0.994845361,0.922680412,6,0.994845361,2.538922156,1,7.148148148,0.412371134,0.974226804,0.293040293,1.407216495,0.706959707,0,0,2.538922156,1
CO_357,0.918652424,0,0.999178307,0.999178307,0.986031224,5,0.999178307,2.890254609,1,15.58974359,1.105176664,0.993426459,0.525185474,2.104354971,0.474814526,0,0,2.890254609,1
CO_715,1.120622568,0,1.140077821,1.140077821,0.003891051,8,1.140077821,3.345238095,1.153846154,4.725806452,0.140077821,1.031128405,0.109422492,1.280155642,0.890577508,0.14453125,2.027027027,4.323076923,1.292307692
CROPUSAGE,0,0,0.833333333,0.833333333,0,3,0.666666667,1.333333333,1,2,0,0,0,0.833333333,1,0,0,1,0.75
DSW,1.473684211,1.157894737,0.947368421,0.947368421,0,4,0.947368421,1.4375,1,6,5.526315789,0.315789474,0.853658537,6.473684211,0.146341463,0,0,1.4375,1
DURUM_WHEAT,0,0,1.0078125,1.0078125,1.0703125,6,1.0078125,3.25,1.019607843,4.961538462,0.3203125,0.921875,0.241176471,1.328125,0.758823529,0.015748031,2,3.31372549,1.019607843
