Description,ANOnto,AROnto,CBOOnto,CBOOnto2,CROnto,DITOnto,INROnto,LCOMOnto,NACOnto,NOCOnto,NOMOnto,POnto,PROnto,RFCOnto,RROnto,TMOnto,TMOnto2,WMCOnto,WMCOnto2
PR,1.004355562,0,1.27288241,1.27288241,3.30718E-06,15,1.27288241,7.851692691,1.229708232,5.667977321,1.625709391,1.271810882,0.560861792,2.898591801,0.439138208,0.271768787,2.003285671,11.86813923,1.511538937
PW,1.002663623,0,1.22108067,1.22108067,0.000380518,11,1.22108067,6.110276545,1.194162437,3.050380228,0.052130898,1.187975647,0.040944411,1.273211568,0.959055589,0.189189189,2.181086519,11.35596447,1.858502538
REX,0.998191682,0,1.21880651,1.21880651,0.001808318,14,1.21880651,7.06431853,1.238709677,2.773662551,0.162748644,1.175406872,0.117801047,1.381555154,0.882198953,0.219202899,2.041322314,14.88064516,2.106451613
RO,0.38961039,14.50649351,1.077922078,1.077922078,0,11,1.077922078,6.297297297,1.178571429,1.693877551,24.46753247,0.467532468,0.957803762,25.54545455,0.042196238,0.039473684,2,8.321428571,1.321428571
RS,0.998821588,0,1.397124676,1.397124676,0.000235682,11,1.397124676,5.366603416,1.509486999,4.243378669,0.001885458,1.396417629,0.001347709,1.399010134,0.998652291,0.358085809,2.116524029,9.937456079,1.851721715
RXNO,1.071256039,0,1.129227053,1.129227053,0.001207729,10,1.129227053,5.807302231,1.141447368,4.25,0.56763285,1.118357488,0.334519573,1.696859903,0.665480427,0.123337364,2.029411765,9.417763158,1.621710526
SBO,1.3374613,0,1.078947368,1.078947368,0.001547988,11,1.078947368,6.33604888,1.079326923,3.030434783,0.001547988,1.046439628,0.001432665,1.080495356,0.998567335,0.080620155,2,7.478365385,1.180288462
SEP,0.973214286,0,0.995535714,0.995535714,0.004464286,10,0.995535714,6,1,3.054794521,0.174107143,0.950892857,0.148854962,1.169642857,0.851145038,0,0,6,1
SIBO,1.024714829,0,1.070342205,1.070342205,0,6,1.070342205,2.716446125,1.077393075,16.08571429,1.279467681,0.836501901,0.544498382,2.349809886,0.455501618,0.072380952,2,2.926680244,1.077393075
SO,1.120421053,0,1.039578947,1.039578947,0,15,1.039578947,6.595806923,1.032511211,4.177664975,0.378105263,0.952,0.266706267,1.417684211,0.733293733,0.038753159,2.032608696,7.582959641,1.149663677
SPD,1.075528701,0,1.051359517,1.051359517,0.001510574,7,1.051359517,2.099656357,1.055350554,5.8,0.694864048,0.580060423,0.397923875,1.746223565,0.602076125,0.057488654,2,2.254612546,1.073800738
STATO,1.01179941,5.945427729,1.057522124,1.057522124,0.019174041,16,1.057522124,7.968871595,1.068817204,3.366197183,1.949852507,1.166666667,0.648357038,3.007374631,0.351642962,0.146233383,2.151515152,8.808602151,1.105376344
SWO,1.120452311,5.071779744,1.214847591,1.214847591,0.029252704,13,1.214847591,5.458561519,1.194852941,6.146766169,0.845870206,1.177482793,0.410473577,2.060717797,0.589526423,0.162773543,2.099697885,9.161151961,1.678308824
SYMP,0.997865528,0,1,1,0,9,1,3.70273794,1.001305483,5.479532164,0.001067236,0.896478122,0.001066098,1.001067236,0.998933902,0.001068376,2,3.707571802,1.001305483
TADS,1.424483307,0,1.023847377,1.023847377,0.001589825,8,1.023847377,2.49512987,1.026666667,22.20689655,1.057233704,0.451510334,0.50802139,2.081081081,0.49197861,0.025477707,2,2.561666667,1.026666667
